model,nbins,eweight,fweight,label,group,weight_type,train_or_test,row_type,ncount,mae,rmse,rsq
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk3,unweighted,training,force,1656.0,0.0286205,0.0551856,0.9986
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk3,unweighted,training,stress,186.0,12775.3,27131.6,0.996068
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk3,weighted,training,energy,31.0,0.0712972,0.0882156,0.9965
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk3,weighted,training,force,1656.0,0.0286205,0.0551856,0.9986
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk3,weighted,training,stress,186.0,1.27753e-08,2.71316e-08,0.996068
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk4,unweighted,training,energy,31.0,0.136251,0.245241,0.997045
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk4,unweighted,training,force,540.0,4.03103e-05,9.57304e-05,0.792074
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk4,unweighted,training,stress,186.0,54121.0,121720.0,0.976925
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk4,weighted,training,energy,31.0,0.136251,0.245241,0.997045
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk4,weighted,training,force,540.0,4.03103e-05,9.57304e-05,0.792074
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk4,weighted,training,stress,186.0,5.4121e-08,1.2172e-07,0.976925
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk5,unweighted,training,energy,31.0,0.0332013,0.0332061,-4.97067
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk5,unweighted,training,force,372.0,8.52914e-05,0.000124946,0.842374
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk5,unweighted,training,stress,186.0,18972.5,26079.3,0.997571
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk5,weighted,training,energy,31.0,0.0332013,0.0332061,-4.97067
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk5,weighted,training,force,372.0,8.52914e-05,0.000124946,0.842374
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk5,weighted,training,stress,186.0,1.89725e-08,2.60793e-08,0.997571
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk6,unweighted,training,energy,31.0,0.0343102,0.034316,-2.51716
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk6,unweighted,training,force,372.0,0.000101979,0.000148795,0.846388
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk6,unweighted,training,stress,186.0,19707.1,27018.5,0.997423
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk6,weighted,training,energy,31.0,0.0343102,0.034316,-2.51716
